iter	Passed	Remaining
879	27889	3803
880	27916	3770
881	27953	3739
882	27984	3708
883	28014	3676
884	28043	3644
885	28073	3612
886	28106	3580
887	28137	3548
888	28166	3516
889	28196	3484
890	28227	3453
891	28254	3420
892	28285	3389
893	28317	3357
894	28349	3325
895	28382	3294
896	28415	3262
897	28444	3230
898	28477	3199
899	28516	3168
900	28552	3137
901	28592	3106
902	28627	3075
903	28657	3043
904	28686	3011
905	28716	2979
906	28747	2947
907	28783	2916
908	28814	2884
909	28843	2852
910	28872	2820
911	28904	2789
912	28932	2756
913	28968	2725
914	29000	2694
915	29027	2661
916	29061	2630
917	29090	2598
918	29124	2566
919	29155	2535
920	29190	2503
921	29219	2471
922	29252	2440
923	29280	2408
924	29308	2376
925	29335	2344
926	29368	2312
927	29400	2281
928	29429	2249
929	29456	2217
930	29485	2185
931	29512	2153
932	29544	2121
933	29573	2089
934	29606	2058
935	29636	2026
936	29667	1994
937	29698	1962
938	29729	1931
939	29756	1899
940	29790	1867
941	29819	1836
942	29845	1804
943	29880	1772
944	29909	1740
945	29938	1708
946	29965	1677
947	29996	1645
948	30029	1613
949	30061	1582
950	30093	1550
951	30126	1518
952	30157	1487
953	30186	1455
954	30216	1423
955	30252	1392
956	30286	1360
957	30314	1329
958	30348	1297
959	30385	1266
960	30417	1234
961	30447	1202
962	30473	1170
963	30504	1139
964	30535	1107
965	30562	1075
966	30589	1043
967	30623	1012
968	30654	980
969	30687	949
970	30722	917
971	30754	885
972	30784	854
973	30817	822
974	30846	790
975	30878	759
976	30905	727
977	30931	695
978	30962	664
979	30994	632
980	31023	600
981	31052	569
982	31085	537
983	31114	505
984	31146	474
985	31177	442
986	31205	411
987	31238	379
988	31267	347
989	31300	316
990	31333	284
991	31360	252
992	31391	221
993	31426	189
994	31457	158
995	31487	126
996	31513	94
997	31548	63
998	31580	31
999	31612	0
